HammingDist, closeness
217,8.25
204,9.5
115,203.094
128,134.625
129,145.273
118,113.125
114,53.125
132,43.5625
225,134
126,62.5
119,175.062
126,47.625
115,56.375
222,22.5
128,119.25
187,63.75
120,55.5
208,130.062
115,61.25
114,36.25
141,101.188
116,59.75
42,48.625
119,68.375
119,50.375
116,46.125
118,66.7188
119,47.125
42,67.5
119,82.2812
120,45
115,121.5
120,60.375
119,36.9844
119,29
115,63.4375
77,87.25
42,67.0625
40,75.375
43,102.375
41,83.25
41,57
32,115.938
43,45
115,100.375
43,70.125
43,128.375
45,65.25
42,124.125
43,102
43,84.25
43,82.375
42,130
39,125.375
40,71.125
35,141.812
23,65.75
155,54.875
37,53.25
43,85.75
116,82.75
40,73.375
41,103
39,134.375
79,79.75
42,62.8125
40,110.375
43,107.375
41,96.75
43,63.4375
44,147.938
43,43.75
46,137.438
89,99.5
43,80.25
43,114.125
41,102.75
95,49.5
95,66.875
40,113.062
37,82.5
42,130.25
33,109.438
45,163.625
54,97.625
43,106.625
37,88.25
42,68.25
85,71.875
43,69.875
51,146.875
43,65.25
42,70.875
42,157
39,110.688
43,98.375
40,88.5
59,103.75
95,141.938
39,154.656
39,147.75
65,157.875
41,105.75
41,111.375
42,165.062
45,130.812
39,137.312
43,128.5
46,72.75
43,143.625
45,129
43,125
30,101.188
43,110
38,180.906
42,94.75
60,131.125
40,86.125
40,55.25
52,52
43,113
42,90.5
103,93.5
39,121
40,51.875
43,120.125
64,141.625
45,115.75
41,76.875
41,107.875
41,101.5
44,153.75
90,116.312
35,122.25
10,80.1875
12,63
21,128.25
137,56.5
38,186
9,88.75
42,86
41,98.125
10,88.125
11,157.188
7,110.562
43,104.75
33,101.312
42,122.75
22,177.312
40,146.938
5,132.75
55,154.75
0,125.625
11,140.125
48,148.188
